Unnamed: 0,fixed_code,buggy_code,gumtree_baseline,line_in_dataset,gpt_attempt1,baseline_nodes,gpt_nodes,node_set_match,jaccard_score,precision,recall,f1_score,tp,fp,fn
0,0,"private void METHOD_1 ( java.lang.String msg , int VAR_1 ) { java.lang.System.out.println ( ( ( ( VAR_1 + STRING_1 ) + STRING_2 ) + msg ) ) ; }","private void METHOD_1 ( java.lang.String msg , int VAR_1 ) { java.lang.System.out.println ( ( ( VAR_1 + STRING_1 ) + msg ) ) ; }","['Move BinaryOperator', 'Move VariableRead', 'Delete FieldRead', 'Delete BinaryOperator']",1,['Delete VariableRead'],"['BinaryOperator', 'VariableRead', 'FieldRead', 'BinaryOperator']",['VariableRead'],GPT Missed Nodes,0.3333333333333333,0.0,0.0,0.0,0,1,4
1,1,"private static float METHOD_1 ( float VAR_1 , float VAR_2 ) { return ( VAR_1 == 0 ) || ( VAR_1 != VAR_1 ) ? VAR_2 : VAR_1 ; }","private static float METHOD_1 ( float VAR_1 , float VAR_2 ) { return VAR_1 == 0 ? VAR_2 : VAR_1 ; }","['Move BinaryOperator', 'Delete VariableRead', 'Delete VariableRead', 'Delete BinaryOperator', 'Delete BinaryOperator']",2,['Delete BinaryOperator'],"['BinaryOperator', 'VariableRead', 'VariableRead', 'BinaryOperator', 'BinaryOperator']",['BinaryOperator'],GPT Missed Nodes,0.5,1.0,0.2,0.33333333333333337,1,0,4
2,2,public void METHOD_1 ( ) throws java.lang.Exception { VAR_1 . METHOD_1 ( ) ; TYPE_1 . METHOD_1 ( ) ; TYPE_2 . METHOD_1 ( ) ; VAR_2 . info ( STRING_1 ) ; },public void METHOD_1 ( ) throws java.lang.Exception { TYPE_1 . METHOD_1 ( ) ; TYPE_2 . METHOD_1 ( ) ; VAR_1 . METHOD_1 ( ) ; VAR_2 . info ( STRING_1 ) ; },['Move Invocation'],4,['Move Invocation'],['Invocation'],['Invocation'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
3,3,"public int METHOD_1 ( ) { return TYPE_1 . METHOD_1 ( new java.lang.Object [ ] { type , VAR_1 , VAR_2 , VAR_3 , VAR_4 , VAR_5 , VAR_6 , VAR_7 , VAR_8 , VAR_9 , VAR_10 , VAR_11 , VAR_12 , VAR_13 } ) ; }","public int METHOD_1 ( ) { return TYPE_1 . METHOD_1 ( new java.lang.Object [ ] { VAR_3 , VAR_4 , VAR_2 , VAR_6 , VAR_9 , VAR_8 , VAR_10 , type , VAR_5 , VAR_7 , VAR_11 , VAR_12 , VAR_13 , VAR_1 } ) ; }","['Move FieldRead', 'Move FieldRead', 'Move FieldRead', 'Move FieldRead', 'Move FieldRead', 'Move FieldRead']",6,"['Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable', 'Move LocalVariable']","['FieldRead', 'FieldRead', 'FieldRead', 'FieldRead', 'FieldRead', 'FieldRead']","['LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable', 'LocalVariable']",Partial Match,0.0,0.0,0.0,0.0,0,14,6
4,4,public void METHOD_1 ( ) { if ( ( this . METHOD_2 ( ) ) != null ) { this . METHOD_2 ( ) . METHOD_3 ( this ) ; } this . VAR_1 = true ; this . VAR_2 = null ; },public void METHOD_1 ( ) { this . METHOD_2 ( ) . METHOD_3 ( this ) ; this . VAR_1 = true ; this . VAR_2 = null ; },"['Move Invocation', 'Delete ThisAccess', 'Delete Invocation', 'Delete Literal', 'Delete BinaryOperator', 'Delete Block', 'Delete If']",7,['Delete Block'],"['Invocation', 'ThisAccess', 'Invocation', 'Literal', 'BinaryOperator', 'Block', 'If']",['Block'],GPT Missed Nodes,0.16666666666666666,1.0,0.14285714285714285,0.25,1,0,6
5,5,private boolean METHOD_1 ( TYPE_1 VAR_1 ) { return ( ( VAR_2 ) != null ) && ( ( VAR_3 ) != null ) ; },private boolean METHOD_1 ( TYPE_1 VAR_1 ) { return ( VAR_2 ) != null ; },"['Move BinaryOperator', 'Delete FieldRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete BinaryOperator']",8,"['Delete VariableRead', 'Delete VariableRead']","['BinaryOperator', 'FieldRead', 'Literal', 'BinaryOperator', 'BinaryOperator']","['VariableRead', 'VariableRead']",Partial Match,0.0,0.0,0.0,0.0,0,2,5
6,6,"public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( ! ( VAR_2 ) ) { VAR_3 . message ( STRING_1 , false ) ; throw new TYPE_2 ( ) ; } }","public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( VAR_2 ) { VAR_3 . message ( STRING_1 , false ) ; throw new TYPE_2 ( ) ; } }","['Move FieldRead', 'Delete UnaryOperator']",9,['Delete Invocation'],"['FieldRead', 'UnaryOperator']",['Invocation'],Partial Match,0.0,0.0,0.0,0.0,0,1,2
7,7,"void start ( ) { try { if ( ! ( VAR_1 . METHOD_1 ( ) ) ) { VAR_2 . start ( ) ; } } catch ( TYPE_1 VAR_3 ) { TYPE_2 . METHOD_2 ( VAR_4 , STRING_1 ) ; } }","void start ( ) { try { VAR_2 . start ( ) ; } catch ( TYPE_1 VAR_3 ) { TYPE_2 . METHOD_2 ( VAR_4 , STRING_1 ) ; } }","['Move Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete UnaryOperator', 'Delete Block', 'Delete If']",11,['Delete Block'],"['Invocation', 'TypeAccess', 'Invocation', 'UnaryOperator', 'Block', 'If']",['Block'],GPT Missed Nodes,0.2,1.0,0.16666666666666666,0.2857142857142857,1,0,5
8,8,public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( this ) ; VAR_1 . METHOD_3 ( this ) ; VAR_1 . METHOD_4 ( this ) ; VAR_1 . METHOD_1 ( ) ; },public void METHOD_1 ( ) { VAR_1 . METHOD_1 ( ) ; VAR_1 . METHOD_2 ( this ) ; VAR_1 . METHOD_3 ( this ) ; VAR_1 . METHOD_4 ( this ) ; },['Move Invocation'],13,['Move Invocation'],['Invocation'],['Invocation'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
9,9,public void show ( ) { if ( ( VAR_1 ) != null ) { VAR_2 . update ( TYPE_1 . METHOD_1 ( ) ) ; } },public void show ( ) { VAR_2 . update ( TYPE_1 . METHOD_1 ( ) ) ; },"['Move Invocation', 'Delete FieldRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete Block', 'Delete If']",14,['Delete Invocation'],"['Invocation', 'FieldRead', 'Literal', 'BinaryOperator', 'Block', 'If']",['Invocation'],GPT Missed Nodes,0.16666666666666666,0.0,0.0,0.0,0,1,6
