fixed,buggy,baseline_ast_gumtree,line_id_tp_dataset
"public java.lang.String METHOD_1 ( TYPE_1 VAR_1 ) { double arg = METHOD_2 ( VAR_1 , METHOD_3 ( ) ) ; return java.lang.String.format ( STRING_1 , METHOD_4 ( ) , arg ) ; }","public java.lang.String METHOD_1 ( ) { return java.lang.String.format ( STRING_1 , METHOD_4 ( ) , METHOD_3 ( ) ) ; }","['Update Invocation', 'Move Invocation', 'Move TypeAccess', 'Move TypeAccess', 'Move Invocation', 'Delete TypeReference', 'Delete Parameter', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete VariableRead', 'Delete Invocation']",2
"private void METHOD_1 ( TYPE_1 node ) { java.lang.String VAR_1 = VAR_2 . get ( 0 ) . METHOD_2 ( 0 , null ) ; TYPE_2 VAR_3 = new TYPE_2 ( this . VAR_4 , VAR_1 ) ; VAR_3 . METHOD_3 ( ) ; }",private void METHOD_1 ( ) { TYPE_2 VAR_3 = new TYPE_2 ( this . VAR_4 ) ; VAR_3 . METHOD_3 ( ) ; },"['Delete TypeReference', 'Delete Parameter', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Literal', 'Delete Invocation', 'Delete Literal', 'Delete Literal', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead']",3
"public TYPE_1 METHOD_1 ( ) { int VAR_1 = TYPE_2 . METHOD_2 ( VAR_2 , VAR_3 ) ; METHOD_3 ( ( ( VAR_2 ) / VAR_1 ) ) ; METHOD_4 ( ( ( VAR_3 ) / VAR_1 ) ) ; return this ; }","public TYPE_1 METHOD_1 ( ) { long VAR_1 = TYPE_2 . METHOD_2 ( VAR_2 , VAR_3 ) ; return new TYPE_1 ( ( ( VAR_2 ) / VAR_1 ) , ( ( VAR_3 ) / VAR_1 ) ) ; }","['Update TypeReference', 'Insert ConstructorCall', 'Move BinaryOperator', 'Move BinaryOperator', 'Delete Invocation', 'Delete Invocation', 'Delete ThisAccess']",4
public static void METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_2 VAR_2 = VAR_3 . remove ( VAR_1 . METHOD_2 ( ) ) ; if ( VAR_2 == null ) return ; VAR_1 . METHOD_3 ( VAR_2 ) ; },public static void METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_2 VAR_2 = VAR_3 . get ( VAR_1 . METHOD_2 ( ) ) ; if ( VAR_2 == null ) return ; VAR_1 . METHOD_3 ( VAR_3 . remove ( VAR_1 . METHOD_2 ( ) ) ) ; },"['Insert Invocation', 'Move Invocation', 'Insert TypeAccess', 'Insert Invocation', 'Insert VariableRead', 'Delete VariableRead']",5
"protected void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( STRING_1 , STRING_1 ) ; VAR_1 . METHOD_3 ( STRING_2 ) ; VAR_2 . show ( ) ; }",protected void METHOD_1 ( ) { VAR_1 . METHOD_3 ( STRING_2 ) ; VAR_2 . show ( ) ; boolean result = false ; },"['Insert LocalVariable', 'Insert TypeReference', 'Insert Literal', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",6
"public static TYPE_1 METHOD_1 ( TYPE_2 VAR_1 , int VAR_2 , int VAR_3 , boolean VAR_4 ) { TYPE_1 VAR_5 = new TYPE_1 ( ) ; VAR_5 . METHOD_2 ( VAR_1 , VAR_2 , VAR_3 , VAR_4 ) ; return VAR_5 ; }","public static TYPE_1 METHOD_1 ( TYPE_2 VAR_1 , int VAR_2 , int VAR_3 , boolean VAR_4 ) { }","['Delete TypeReference', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete VariableRead', 'Delete VariableRead', 'Delete VariableRead', 'Delete VariableRead', 'Delete VariableRead', 'Delete Invocation', 'Delete VariableRead', 'Delete Return']",8
"public void METHOD_1 ( ) { TYPE_1 VAR_1 = VAR_2 . METHOD_2 ( ) ; if ( ( VAR_3 ) == null ) { METHOD_3 ( false ) ; } else { METHOD_3 ( true ) ; } METHOD_4 ( VAR_2 . METHOD_5 ( ) , VAR_4 ) ; }","public void METHOD_1 ( ) { METHOD_4 ( VAR_2 . METHOD_5 ( ) , VAR_4 ) ; }","['Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete FieldRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete Literal', 'Delete Invocation', 'Delete Block', 'Delete Literal', 'Delete Invocation', 'Delete Block', 'Delete If']",9
"public boolean METHOD_1 ( ) { boolean VAR_1 = getBoolean ( VAR_2 , false ) ; return getBoolean ( VAR_3 , VAR_1 ) ; }","public boolean METHOD_1 ( ) { return getBoolean ( VAR_3 , getBoolean ( VAR_2 , false ) ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",10
public void METHOD_1 ( java.lang.Long VAR_1 ) { TYPE_1 VAR_2 = METHOD_2 ( VAR_1 ) ; VAR_3 . delete ( VAR_2 ) ; },public void METHOD_1 ( TYPE_1 VAR_2 ) { VAR_3 . delete ( VAR_2 ) ; },"['Update Parameter', 'Move TypeReference', 'Delete TypeReference', 'Delete VariableRead', 'Delete Invocation', 'Delete LocalVariable']",13
"public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) { if ( VAR_2 . METHOD_2 ( ) ) { TYPE_3 VAR_3 = VAR_2 . METHOD_3 ( ) ; return ( VAR_3 != null ) && ( VAR_3 . METHOD_4 ( ) ) ; } return true ; }","public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) { if ( VAR_2 . METHOD_2 ( ) ) { return VAR_2 . METHOD_3 ( ) . METHOD_4 ( ) ; } return true ; }","['Insert Invocation', 'Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete VariableRead', 'Delete Invocation', 'Delete BinaryOperator']",14
