fixed,buggy,baseline_ast_gumtree,line_id_tp_dataset
"private static void METHOD_1 ( long VAR_1 , long VAR_2 , long VAR_3 ) { }","private static native void METHOD_1 ( long VAR_1 , long VAR_2 , long VAR_3 ) ;",['Insert Wra'],1
"public void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { TYPE_3 message = TYPE_3 . METHOD_2 ( VAR_2 , VAR_3 ) ; if ( message != null ) { TYPE_4 . METHOD_3 ( message ) ; } }","public void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { TYPE_3 message = TYPE_3 . METHOD_2 ( VAR_2 , VAR_3 ) ; if ( message != null ) { TYPE_4 . METHOD_3 ( TYPE_3 . METHOD_2 ( VAR_2 , VAR_3 ) ) ; } }","['Insert Invocation', 'Insert TypeAccess', 'Insert VariableRead', 'Insert VariableRead', 'Delete VariableRead']",2
"static boolean equals ( java.lang.Object a , java.lang.Object b ) { if ( a == null ) return b == null ; return VAR_1 . equals ( b ) ; }","private boolean equals ( java.lang.Object a , java.lang.Object b ) { if ( a == null ) return b == null ; return VAR_1 . equals ( b ) ; }",['Update Wra'],3
private int METHOD_1 ( ) { if ( ! ( METHOD_2 ( ) ) ) { return 0 ; } if ( TYPE_1 . METHOD_3 ( ) ) { return INT_1 ; } else { return INT_2 ; } },private int METHOD_1 ( ) { if ( ! ( METHOD_2 ( ) ) ) { return 0 ; } if ( TYPE_1 . METHOD_3 ( getActivity ( ) ) ) { return INT_1 ; } else { return INT_2 ; } },['Insert Invocation'],4
protected java.util.Date METHOD_1 ( ) { return VAR_1 ; },public java.util.Date METHOD_1 ( ) { return VAR_1 ; },['Update Wra'],5
"public TYPE_1 < java.lang.Integer > METHOD_1 ( int VAR_1 , int VAR_2 ) { return new TYPE_1 ( ( VAR_1 / VAR_2 ) , METHOD_2 ( VAR_1 , VAR_2 ) ) ; }","public TYPE_1 < java.lang.Integer > METHOD_1 ( int VAR_1 , int VAR_2 ) { return new TYPE_1 ( ( VAR_1 / VAR_2 ) , ( VAR_1 % VAR_2 ) ) ; }","['Update ConstructorCall', 'Insert BinaryOperator', 'Move VariableRead', 'Move VariableRead', 'Delete Invocation']",6
"public TYPE_1 METHOD_1 ( java.lang.String event , long VAR_1 , boolean VAR_2 ) { return METHOD_2 ( event , STRING_1 , STRING_1 , VAR_1 , VAR_2 ) ; }","public TYPE_1 METHOD_1 ( java.lang.String event , long VAR_1 , boolean VAR_2 ) { return METHOD_2 ( event , STRING_1 , VAR_1 , VAR_2 ) ; }",['Delete TypeAccess'],7
"protected void METHOD_1 ( TYPE_1 < java.lang.Integer , java.lang.Integer > VAR_1 ) { METHOD_2 ( VAR_1 , 1 ) ; METHOD_3 ( VAR_1 , 1 ) ; }","private void METHOD_1 ( TYPE_1 < java.lang.Integer , java.lang.Integer > VAR_1 ) { METHOD_2 ( VAR_1 , 1 ) ; METHOD_3 ( VAR_1 , 1 ) ; }",['Update Wra'],8
"public TYPE_1 build ( ) { if ( ( VAR_1 ) == null ) { throw new TYPE_2 ( STRING_1 ) ; } return new TYPE_1 ( VAR_1 , VAR_2 , VAR_3 . build ( ) , VAR_4 , VAR_5 ) ; }","public TYPE_1 build ( ) { if ( ( VAR_1 ) == null ) { throw new TYPE_2 ( STRING_1 ) ; } return new TYPE_1 ( VAR_1 , VAR_2 , VAR_3 . build ( ) , VAR_4 ) ; }",['Delete FieldRead'],9
public static void main ( java.lang.String [ ] args ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_2 . init ( ) ; VAR_1 . METHOD_1 ( ) ; },public static void main ( java.lang.String [ ] args ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_2 . init ( ) ; VAR_2 . start ( ) ; },"['Update Invocation', 'Insert TypeAccess', 'Delete VariableRead']",10
public int METHOD_1 ( ) { return this . VAR_1 = VAR_1 ; },public METHOD_1 ( int VAR_1 ) { return this . VAR_1 = VAR_1 ; },"['Insert Parameter', 'Insert TypeReference', 'Insert VariableRead', 'Delete TypeReference', 'Delete FieldRead']",12
"public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_1 VAR_2 ) { return true ; }","public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_1 VAR_2 ) { return false ; }",['Update Literal'],13
