fixed_code,buggy_code,gumtree_baseline,line_in_dataset,gpt_attempt1,baseline_nodes,gpt_nodes,node_set_match,jaccard_score,precision,recall,f1_score,tp,fp,fn
0,public void METHOD_1 ( boolean VAR_1 ) { VAR_2 = VAR_1 ; VAR_3 = true ; VAR_4 = TYPE_1 . METHOD_2 ( ) ; TYPE_2 . METHOD_3 ( this ) ; },public void METHOD_1 ( boolean VAR_1 ) { VAR_2 = VAR_1 ; VAR_4 = TYPE_1 . METHOD_2 ( ) ; TYPE_2 . METHOD_3 ( this ) ; },"['Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",1,"['Delete Assignment', 'Delete Literal']","['FieldWrite', 'Literal', 'Assignment']","['Assignment', 'Literal']",GPT Missed Nodes,0.6666666666666666,1.0,0.6666666666666666,0.8,2,0,1
1,public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 = VAR_3 . METHOD_2 ( ) ; METHOD_3 ( VAR_3 . METHOD_2 ( ) ) ; },public void METHOD_1 ( android.view.View VAR_1 ) { METHOD_3 ( VAR_3 . METHOD_2 ( ) ) ; },"['Delete FieldWrite', 'Delete TypeAccess', 'Delete Invocation', 'Delete Assignment']",6,"['Delete Assignment', 'Delete Invocation', 'Delete VariableRead', 'Delete FieldWrite']","['FieldWrite', 'TypeAccess', 'Invocation', 'Assignment']","['Assignment', 'Invocation', 'VariableRead', 'FieldWrite']",Partial Match,0.6,0.75,0.75,0.75,3,1,1
2,public void METHOD_1 ( ) { this . VAR_1 = this . VAR_2 ; },public void METHOD_1 ( ) { },"['Delete ThisAccess', 'Delete FieldWrite', 'Delete ThisAccess', 'Delete FieldRead', 'Delete Assignment']",8,"['Delete ThisAccess', 'Delete FieldWrite', 'Delete ThisAccess', 'Delete FieldRead']","['ThisAccess', 'FieldWrite', 'ThisAccess', 'FieldRead', 'Assignment']","['ThisAccess', 'FieldWrite', 'ThisAccess', 'FieldRead']",GPT Missed Nodes,0.75,1.0,0.8,0.888888888888889,4,0,1
3,"public void METHOD_1 ( ) { VAR_1 = new TYPE_1 ( ) ; VAR_2 = new TYPE_2 ( ) ; VAR_3 = new TYPE_3 ( ) ; VAR_3 . METHOD_2 ( STRING_1 , new TYPE_4 ( ) ) ; TYPE_5 . METHOD_3 ( STRING_2 , VAR_3 ) ; }","public void METHOD_1 ( ) { VAR_1 = new TYPE_1 ( ) ; VAR_3 = new TYPE_3 ( ) ; VAR_3 . METHOD_2 ( STRING_1 , new TYPE_4 ( ) ) ; TYPE_5 . METHOD_3 ( STRING_2 , VAR_3 ) ; }","['Delete FieldWrite', 'Delete ConstructorCall', 'Delete Assignment']",10,"['Delete Assignment', 'Delete ConstructorCall', 'Delete TypeReference', 'Delete VariableRead']","['FieldWrite', 'ConstructorCall', 'Assignment']","['Assignment', 'ConstructorCall', 'TypeReference', 'VariableRead']",Partial Match,0.4,0.5,0.6666666666666666,0.5714285714285715,2,2,1
4,public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . METHOD_1 ( VAR_1 ) ; METHOD_2 ( ) ; VAR_3 = VAR_4 ; },public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . METHOD_1 ( VAR_1 ) ; METHOD_2 ( ) ; },"['Delete FieldWrite', 'Delete FieldRead', 'Delete Assignment']",11,"['Delete Assignment', 'Delete VariableRead', 'Delete VariableRead']","['FieldWrite', 'FieldRead', 'Assignment']","['Assignment', 'VariableRead', 'VariableRead']",Partial Match,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
5,public void METHOD_1 ( ) { if ( ( VAR_1 ) != null ) { VAR_1 = VAR_1 . METHOD_2 ( ) ; } },public void METHOD_1 ( ) { if ( ( VAR_1 ) != null ) { VAR_1 . METHOD_2 ( ) ; } },"['Move Invocation', 'Delete FieldWrite', 'Delete Assignment']",12,['Delete Assignment'],"['Invocation', 'FieldWrite', 'Assignment']",['Assignment'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
6,"public void METHOD_1 ( TYPE_1 view , int VAR_1 , int VAR_2 , int VAR_3 ) { this . VAR_4 = VAR_1 ; this . VAR_5 = VAR_2 ; this . VAR_6 = VAR_3 ; }","public void METHOD_1 ( TYPE_1 view , int VAR_1 , int VAR_2 , int VAR_3 ) { }","['Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment', 'Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment', 'Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment']",13,"['Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete FieldWrite', 'Delete VariableRead', 'Delete FieldWrite', 'Delete VariableRead']","['ThisAccess', 'FieldWrite', 'VariableRead', 'Assignment', 'ThisAccess', 'FieldWrite', 'VariableRead', 'Assignment', 'ThisAccess', 'FieldWrite', 'VariableRead', 'Assignment']","['ThisAccess', 'FieldWrite', 'VariableRead', 'FieldWrite', 'VariableRead', 'FieldWrite', 'VariableRead']",GPT Missed Nodes,0.75,1.0,0.5833333333333334,0.7368421052631579,7,0,5
7,"public void METHOD_1 ( TYPE_1 VAR_1 , int i , int VAR_2 , int VAR_3 ) { startTime = startTime . METHOD_2 ( i ) ; startTime = startTime . METHOD_3 ( VAR_2 ) ; startTime = startTime . METHOD_4 ( VAR_3 ) ; METHOD_5 ( ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , int i , int VAR_2 , int VAR_3 ) { startTime . METHOD_2 ( i ) ; startTime . METHOD_3 ( VAR_2 ) ; startTime . METHOD_4 ( VAR_3 ) ; METHOD_5 ( ) ; }","['Move Invocation', 'Move Invocation', 'Move Invocation', 'Delete FieldWrite', 'Delete Assignment', 'Delete FieldWrite', 'Delete Assignment', 'Delete FieldWrite', 'Delete Assignment']",14,"['Delete Assignment', 'Delete FieldWrite']","['Invocation', 'Invocation', 'Invocation', 'FieldWrite', 'Assignment', 'FieldWrite', 'Assignment', 'FieldWrite', 'Assignment']","['Assignment', 'FieldWrite']",GPT Missed Nodes,0.6666666666666666,1.0,0.2222222222222222,0.3636363636363636,2,0,7
8,"public void METHOD_1 ( int offset , int length ) { if ( ( offset + length ) > ( VAR_1 . length ) ) { throw new TYPE_1 ( STRING_1 ) ; } this . offset = offset ; this . length = length ; }","public void METHOD_1 ( int offset , int length ) { if ( ( offset + length ) > ( VAR_1 . length ) ) { throw new TYPE_1 ( STRING_1 ) ; } this . offset = offset ; }","['Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment']",15,"['Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead']","['ThisAccess', 'FieldWrite', 'VariableRead', 'Assignment']","['ThisAccess', 'FieldWrite', 'VariableRead']",GPT Missed Nodes,0.75,1.0,0.75,0.8571428571428571,3,0,1
9,public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . METHOD_2 ( ) ; VAR_3 . METHOD_3 ( VAR_4 ) ; VAR_5 . METHOD_4 ( ) ; VAR_6 = false ; VAR_7 . METHOD_5 ( ) ; },public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . METHOD_2 ( ) ; VAR_3 . METHOD_3 ( VAR_4 ) ; VAR_7 . METHOD_5 ( ) ; },"['Delete TypeAccess', 'Delete Invocation', 'Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",16,"['Delete Invocation', 'Delete Assignment']","['TypeAccess', 'Invocation', 'FieldWrite', 'Literal', 'Assignment']","['Invocation', 'Assignment']",GPT Missed Nodes,0.4,1.0,0.4,0.5714285714285715,2,0,3
