fixed_code,buggy_code,gumtree_baseline,line_in_dataset,gpt_attempt1,baseline_nodes,gpt_nodes,node_set_match,jaccard_score,precision,recall,f1_score,tp,fp,fn
0,"protected void METHOD_1 ( ) { super . METHOD_1 ( ) ; TYPE_1 VAR_1 = ( ( TYPE_1 ) ( VAR_2 . METHOD_2 ( ) ) ) ; VAR_1 . METHOD_3 ( VAR_2 ) ; VAR_3 . i ( VAR_4 , STRING_1 ) ; }","protected void METHOD_1 ( ) { super . METHOD_1 ( ) ; VAR_3 . i ( VAR_4 , STRING_1 ) ; }","['Delete TypeReference', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation']",1,"['Delete TypeReference', 'Delete TypeReference', 'Delete TypeReference', 'Delete VariableRead', 'Delete Invocation', 'Delete LocalVariable', 'Delete Invocation']","['TypeReference', 'TypeReference', 'TypeAccess', 'Invocation', 'LocalVariable', 'VariableRead', 'TypeAccess', 'Invocation']","['TypeReference', 'TypeReference', 'TypeReference', 'VariableRead', 'Invocation', 'LocalVariable', 'Invocation']",GPT Missed Nodes,0.8,0.8571428571428571,0.75,0.7999999999999999,6,1,2
1,public static void main ( java.lang.String [ ] args ) throws java.lang.Exception { TYPE_1 VAR_1 = new TYPE_1 ( ) ; TYPE_2 VAR_2 = VAR_1 . METHOD_1 ( VAR_3 ) ; java.lang.System.out.print ( VAR_1 . METHOD_2 ( VAR_2 ) ) ; },public static void main ( java.lang.String [ ] args ) throws java.lang.Exception { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_1 . METHOD_1 ( VAR_3 ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete FieldRead', 'Delete VariableRead', 'Delete VariableRead', 'Delete Invocation', 'Delete Invocation']",4,"['Delete TypeReference', 'Delete LocalVariable', 'Delete TypeReference', 'Delete VariableRead', 'Delete Invocation', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation']","['Invocation', 'TypeReference', 'LocalVariable', 'TypeAccess', 'FieldRead', 'VariableRead', 'VariableRead', 'Invocation', 'Invocation']","['TypeReference', 'LocalVariable', 'TypeReference', 'VariableRead', 'Invocation', 'TypeReference', 'TypeAccess', 'Invocation']",GPT Missed Nodes,0.8333333333333334,0.75,0.6666666666666666,0.7058823529411765,6,2,3
2,private java.util.List < TYPE_1 > METHOD_1 ( boolean VAR_1 ) { java.util.List < TYPE_1 > result = new java.util.ArrayList < TYPE_1 > ( METHOD_2 ( ) . METHOD_3 ( ) ) ; if ( VAR_1 ) TYPE_2 . METHOD_4 ( result ) ; return result ; },private java.util.List < TYPE_1 > METHOD_1 ( boolean VAR_1 ) { return new java.util.ArrayList < TYPE_1 > ( METHOD_2 ( ) . METHOD_3 ( ) ) ; },"['Move ConstructorCall', 'Delete TypeReference', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete Block', 'Delete If', 'Delete VariableRead']",6,"['Delete LocalVariable', 'Delete ConstructorCall', 'Delete TypeReference', 'Delete TypeReference', 'Delete TypeReference', 'Delete TypeReference', 'Delete If', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead', 'Delete Return', 'Move ConstructorCall']","['ConstructorCall', 'TypeReference', 'TypeReference', 'LocalVariable', 'VariableRead', 'TypeAccess', 'VariableRead', 'Invocation', 'Block', 'If', 'VariableRead']","['LocalVariable', 'ConstructorCall', 'TypeReference', 'TypeReference', 'TypeReference', 'TypeReference', 'If', 'TypeAccess', 'Invocation', 'VariableRead', 'Return', 'ConstructorCall']",Partial Match,0.7777777777777778,0.6666666666666666,0.7272727272727273,0.6956521739130435,8,4,3
3,"public TYPE_1 build ( ) { TYPE_1 VAR_1 = new TYPE_1 ( id , VAR_2 , VAR_3 , VAR_4 , VAR_5 , VAR_6 ) ; VAR_1 . METHOD_1 ( VAR_7 ) ; return VAR_1 ; }","public TYPE_1 build ( ) { return new TYPE_1 ( id , VAR_2 , VAR_3 , VAR_4 , VAR_5 , VAR_6 ) ; }","['Move ConstructorCall', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead']",7,"['Delete LocalVariable', 'Delete Invocation', 'Delete VariableRead', 'Delete Return']","['ConstructorCall', 'TypeReference', 'LocalVariable', 'VariableRead', 'TypeAccess', 'Invocation', 'VariableRead']","['LocalVariable', 'Invocation', 'VariableRead', 'Return']",Partial Match,0.42857142857142855,0.75,0.42857142857142855,0.5454545454545454,3,1,4
4,public void METHOD_1 ( ) { this . METHOD_2 ( ) ; int tmp = METHOD_3 ( 1 ) ; if ( tmp != INT_1 ) this . VAR_1 = tmp ; else this . VAR_1 = 0 ; },public void METHOD_1 ( ) { this . METHOD_2 ( ) ; if ( ( METHOD_3 ( 1 ) ) != INT_1 ) this . VAR_1 = METHOD_3 ( 1 ) ; else this . VAR_1 = 0 ; },"['Move Invocation', 'Insert Invocation', 'Insert Literal', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete VariableRead']",8,"['Delete LocalVariable', 'Insert Invocation', 'Insert BinaryOperator', 'Update FieldWrite']","['Invocation', 'Invocation', 'Literal', 'TypeReference', 'LocalVariable', 'VariableRead', 'VariableRead']","['LocalVariable', 'Invocation', 'BinaryOperator', 'FieldWrite']",Partial Match,0.2857142857142857,0.5,0.2857142857142857,0.36363636363636365,2,2,5
5,"private void METHOD_1 ( ) { METHOD_2 ( ) ; android.content.Intent VAR_1 = new android.content.Intent ( METHOD_3 ( ) , VAR_2 class ) . METHOD_4 ( VAR_3 , VAR_4 . getId ( ) ) ; METHOD_5 ( VAR_1 , VAR_5 ) ; }","private void METHOD_1 ( ) { METHOD_2 ( ) ; android.content.Intent VAR_1 = new android.content.Intent ( METHOD_3 ( ) , VAR_2 class ) ; METHOD_5 ( VAR_1 , VAR_5 ) ; }","['Move ConstructorCall', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation']",11,['Delete Invocation'],"['ConstructorCall', 'TypeAccess', 'TypeAccess', 'Invocation', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.2,0.33333333333333337,1,0,4
6,private void METHOD_1 ( ) { VAR_1 = ( java.lang.Math.random ( ) ) >= FLOAT_1 ; if ( VAR_1 ) VAR_2 = new TYPE_1 ( ) ; else VAR_2 = new TYPE_2 ( ) ; },private void METHOD_1 ( ) { VAR_1 = ( java.lang.Math.random ( ) ) >= FLOAT_1 ; if ( VAR_1 ) { TYPE_1 b = new TYPE_1 ( ) ; VAR_2 = TYPE_1 ; } else VAR_2 = new TYPE_2 ( ) ; },"['Insert LocalVariable', 'Insert TypeReference', 'Move ConstructorCall', 'Insert FieldRead']",12,"['Insert Block', 'Insert LocalVariable', 'Insert TypeReference', 'Insert Assignment', 'Insert VariableRead']","['LocalVariable', 'TypeReference', 'ConstructorCall', 'FieldRead']","['Block', 'LocalVariable', 'TypeReference', 'Assignment', 'VariableRead']",Partial Match,0.2857142857142857,0.4,0.5,0.4444444444444445,2,3,2
7,"public void METHOD_1 ( ) { java.lang.String VAR_1 = VAR_2 . METHOD_2 ( false ) ; java.lang.String VAR_3 = VAR_2 . METHOD_3 ( ) ; VAR_2 . METHOD_4 ( VAR_1 , VAR_3 ) ; VAR_4 . assertEquals ( VAR_1 , VAR_2 . METHOD_2 ( false ) ) ; }","public void METHOD_1 ( ) { java.lang.String VAR_1 = VAR_2 . METHOD_2 ( false ) ; VAR_2 . METHOD_4 ( VAR_1 ) ; VAR_4 . assertEquals ( VAR_1 , VAR_2 . METHOD_2 ( false ) ) ; }","['Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead']",16,"['Delete TypeReference', 'Delete VariableRead', 'Delete Invocation']","['TypeReference', 'TypeAccess', 'Invocation', 'LocalVariable', 'VariableRead']","['TypeReference', 'VariableRead', 'Invocation']",GPT Missed Nodes,0.6,1.0,0.6,0.7499999999999999,3,0,2
8,public int METHOD_1 ( TYPE_1 key ) { java.lang.Integer VAR_1 = VAR_2 . get ( key ) ; if ( VAR_1 == null ) return METHOD_2 ( key ) ; else return VAR_1 ; },public int METHOD_1 ( TYPE_1 key ) { return METHOD_2 ( key ) ; },"['Move Return', 'Delete TypeReference', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete Block', 'Delete VariableRead', 'Delete Return', 'Delete Block', 'Delete If']",17,"['Delete LocalVariable', 'Delete FieldRead', 'Delete Invocation', 'Delete If', 'Delete Literal', 'Delete VariableRead', 'Delete Return']","['Return', 'TypeReference', 'TypeAccess', 'VariableRead', 'Invocation', 'LocalVariable', 'VariableRead', 'Literal', 'BinaryOperator', 'Block', 'VariableRead', 'Return', 'Block', 'If']","['LocalVariable', 'FieldRead', 'Invocation', 'If', 'Literal', 'VariableRead', 'Return']",Partial Match,0.5454545454545454,0.8571428571428571,0.42857142857142855,0.5714285714285714,6,1,8
9,"public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent intent = new android.content.Intent ( METHOD_2 ( ) , VAR_2 class ) ; intent . METHOD_3 ( STRING_1 , VAR_3 ) ; METHOD_4 ( intent ) ; }",public void METHOD_1 ( android.view.View VAR_1 ) { },"['Delete TypeReference', 'Delete Invocation', 'Delete FieldRead', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead', 'Delete Invocation']",18,"['Delete LocalVariable', 'Delete ConstructorCall', 'Delete TypeReference', 'Delete Invocation', 'Delete Literal', 'Delete TypeReference', 'Delete Invocation', 'Delete Literal', 'Delete VariableRead', 'Delete Invocation']","['TypeReference', 'Invocation', 'FieldRead', 'ConstructorCall', 'LocalVariable', 'VariableRead', 'TypeAccess', 'TypeAccess', 'Invocation', 'VariableRead', 'Invocation']","['LocalVariable', 'ConstructorCall', 'TypeReference', 'Invocation', 'Literal', 'TypeReference', 'Invocation', 'Literal', 'VariableRead', 'Invocation']",Partial Match,0.625,0.7,0.6363636363636364,0.6666666666666666,7,3,4
